,prefLabel,LABEL
158,dioscorea tepinapensis var. aggregata,PLANTS
159,dioscorea villosa,PLANTS
160,dioscorea villosa var. glabrifolia,PLANTS
161,dioscorea villosa var. hirticaulis,PLANTS
162,diosma serrata,PLANTS
163,diospyros candolleana,PLANTS
164,diospyros ebenum,PLANTS
165,diospyros holtzii,PLANTS
166,diospyros kaki,PLANTS
167,diospyros mespiliformis,PLANTS
168,diospyros sabiensis,PLANTS
169,diploglottis cunninghamii,PLANTS
170,diploknema butyracea,PLANTS
171,diplopterys cabrerana,PLANTS
172,diplosastera tinctoria,PLANTS
173,diplothorax tonkinensis,PLANTS
174,dipsacus sylvestris,PLANTS
175,dipterocarpus alatus,PLANTS
176,dipterocarpus costatus,PLANTS
177,dipterocarpus jourdainii,PLANTS
178,dipterocarpus laevis,PLANTS
179,dipterocarpus spp.,PLANTS
180,dipterocarpus turbinatus,PLANTS
181,dipterocarpus turbinatus var. ramipiliferus,PLANTS
182,dipteryx odorata,PLANTS
183,dipteryx oppositifolia,PLANTS
184,distichlis spicata,PLANTS
185,distylium racemosum,PLANTS
186,ditremexa occidentalis,PLANTS
187,dittrichia graveolens l. greuter,PLANTS
188,doellingeria scabra,PLANTS
189,dolichos biflorus,PLANTS
190,dolichos dissectus,PLANTS
191,dolichos fabiformis,PLANTS
192,dolichos psoraloides,PLANTS
193,dolichos tetragonolobus,PLANTS
194,dolichos trilobus,PLANTS
195,dolichos unguiculata,PLANTS
196,dombeya excelsa,PLANTS
197,dorema ammoniacum d. don.,PLANTS
198,doritis lobbii,PLANTS
199,doritis pulcherrima,PLANTS
200,draba nemorosa,PLANTS
201,dracaena borealis,PLANTS
202,dracaena cambodiana,PLANTS
203,dracaena marginata,PLANTS
204,dracaena sanderiana,PLANTS
205,dracaena terminalis,PLANTS
206,dracocephalum acanthoides,PLANTS
207,dracocephalum canariense,PLANTS
208,dracocephalum heterophyllum,PLANTS
209,dracocephalum kaschygaricum,PLANTS
210,dracocephalum moldavica,PLANTS
211,dracocephalum pamiricum,PLANTS
212,dracontium longpipes,PLANTS
213,drimia indica,PLANTS
214,drimia maritima,PLANTS
215,drimys aromatica,PLANTS
216,drimys lanceolata,PLANTS
217,drosera ramentacea,PLANTS
218,drosera rotundifolia,PLANTS
219,drosera rotundifolia var. furcata,PLANTS
220,drupifera oleosa,PLANTS
221,dryopteris crassirhizoma,PLANTS
222,dryopteris erythrosora,PLANTS
223,dryopteris filix-mas,PLANTS
224,duabanga grandiflora,PLANTS
225,duabanga sonneratioides,PLANTS
226,duboisia leichardtii,PLANTS
227,duchesnea indica,PLANTS
228,dulacia inopiflora,PLANTS
229,dunaliella bardawil,PLANTS
230,dunaliella salina,PLANTS
231,duranta repens,PLANTS
232,durio zibethinus,PLANTS
233,durvillea antarctica,PLANTS
234,dyera costulata,PLANTS
235,dypsis lutescens,PLANTS
236,dysphania ambrosioides,PLANTS
237,dysphania ambrosioides var. anthelminthicum,PLANTS
238,dysphania botrys,PLANTS
239,ecballium elaterium,PLANTS
240,echinacea angustifolia,PLANTS
241,echinacea angustifolia var. strigosa,PLANTS
242,echinacea pallida,PLANTS
243,echinacea purpurea,PLANTS
244,echiniacea angustifolia,PLANTS
245,echinocactus arizonicus,PLANTS
246,echinocactus falconeri,PLANTS
247,echinocactus wislizeni,PLANTS
248,echinocactus wislizeni var. albispinus,PLANTS
249,echinocactus wislizeni var. phoeniceus,PLANTS
250,echinopanax elatus,PLANTS
251,echinophora cinerea,PLANTS
252,echinops giganteus,PLANTS
253,echinops sphaerocephalus,PLANTS
254,echites scholaris,PLANTS
255,echium lycopsis,PLANTS
256,echium plantagineum,PLANTS
257,echtrus mexicanus,PLANTS
258,echtrus trivialis,PLANTS
259,ecklonia cava,PLANTS
260,ecklonia kurome,PLANTS
261,ecklonia laminaria,PLANTS
262,ecklonia maxima,PLANTS
263,ecklonia radiata,PLANTS
264,eclipta alba,PLANTS
265,eclipta brachypoda,PLANTS
266,eclipta erecta,PLANTS
267,eclipta prostata,PLANTS
268,eclipta prostrata,PLANTS
269,edulis,PLANTS
270,edwardsia grandiflora var. microphylla,PLANTS
271,edwardsia microphylla,PLANTS
272,egletes floribunda,PLANTS
273,egletes obovata,PLANTS
274,egletes viscosa,PLANTS
275,eichhornia crassipes,PLANTS
276,eisenia arborea,PLANTS
277,elaeagnus angustifolia,PLANTS
278,elaeagnus glabra,PLANTS
279,elaeagnus hortensis,PLANTS
280,elaeagnus hortensis var. orientalis,PLANTS
281,elaeagnus incana,PLANTS
282,elaeagnus inermis,PLANTS
283,elaeagnus latifolia,PLANTS
284,elaeagnus orientalis,PLANTS
285,elaeagnus pungens,PLANTS
286,elaeagnus rhamnoides,PLANTS
287,elaeagnus spinosa,PLANTS
288,elaeagnus umbellata,PLANTS
289,elaeis guineensis,PLANTS
290,elaeis melanococca var. semicircularis,PLANTS
291,elaeis oleifera,PLANTS
292,elaphoboscum sativum,PLANTS
293,elaphrium bipinnatum,PLANTS
294,elaphrium gracile,PLANTS
295,elaphrium graveolens,PLANTS
296,elaphrium pubescens,PLANTS
297,elaphrium tatamaco,PLANTS
298,eleocharis dulcis,PLANTS
299,elephantopus mollis,PLANTS
300,elettaria cardamomum,PLANTS
301,elettaria cardamomum miniscula,PLANTS
302,elettaria cardamomum var. miniscula,PLANTS
303,eleutherococcus henryi,PLANTS
304,eleutherococcus leukorrhiza,PLANTS
305,eleutherococcus senticosus,PLANTS
306,eleutherococcus sessiliflorus,PLANTS
307,elsholtzia ciliata,PLANTS
308,elsholtzia cristata,PLANTS
309,elsholtzia monostachya,PLANTS
310,elsholtzia patrini,PLANTS
311,elsholtzia splendens,PLANTS
312,elsholtzia stauntoni,PLANTS
313,elsholtzia stauntonii,PLANTS
314,elymus cinereus,PLANTS
315,elymus repens,PLANTS
316,elymus triticoides,PLANTS
317,elyonurus muticus sprengel o.kuntze,PLANTS
318,elytrigia repens,PLANTS
319,embela ribes,PLANTS
320,embelia concinna,PLANTS
321,embelia ribes,PLANTS
322,embelia robusta,PLANTS
323,emblica officinalis,PLANTS
324,emilia sonchifolia,PLANTS
325,emiliania huxleyi,PLANTS
326,empetrum nigrum,PLANTS
327,enantia affinis,PLANTS
328,enantia chlorantha,PLANTS
329,enantia chlorantha var. soyauxii,PLANTS
330,encelia eriocephala,PLANTS
331,endothia parasitica,PLANTS
332,engelhardtia chrysolepis,PLANTS
333,entada phaseoloides,PLANTS
334,entada phaseoloites,PLANTS
335,enteromorpha compressa,PLANTS
336,enteromorpha flexuosa,PLANTS
337,enteromorpha prolifera,PLANTS
338,epacris impressa,PLANTS
339,eperua falcata,PLANTS
340,ephedra dahurica,PLANTS
341,ephedra distachya,PLANTS
342,ephedra equisetina,PLANTS
343,ephedra gerardiana,PLANTS
344,ephedra intermedia,PLANTS
345,ephedra ma-huang,PLANTS
346,ephedra major,PLANTS
347,ephedra nebrodensis,PLANTS
348,ephedra shennungiana,PLANTS
349,ephedra sinica,PLANTS
350,epigaea repens,PLANTS
351,epilobium angustifolium,PLANTS
352,epilobium fleischeri,PLANTS
353,epilobium parviflorum,PLANTS
354,epilobium roseum,PLANTS
355,epimedium brevicornum,PLANTS
356,epimedium grandiflorum,PLANTS
357,epimedium koreanum,PLANTS
358,epimedium sagittatum,PLANTS
359,epiphyllum oxypetalum,PLANTS
360,eptatretus bergeri,PLANTS
361,equisetum arvense,PLANTS
362,equisetum debile,PLANTS
363,equisetum fluviatile,PLANTS
364,equisetum giganteum,PLANTS
365,equisetum hiemale,PLANTS
366,equisetum hyemale,PLANTS
367,equisetum limosum,PLANTS
368,equisetum maximum,PLANTS
369,equisetum palustre,PLANTS
370,equisetum praealtum,PLANTS
371,equisetum ramosissimum subsp. debile,PLANTS
372,equisetum sylvaticum,PLANTS
373,eremanthus erythropappus,PLANTS
374,eremochloa ophiuroides,PLANTS
375,eremophila mitchelli,PLANTS
376,erica,PLANTS
377,erica arborea,PLANTS
378,erica canaliculata,PLANTS
379,erica carnea,PLANTS
380,erica cinerea,PLANTS
381,erica scoparia,PLANTS
382,erica tetralix,PLANTS
383,ericerus pela,PLANTS
384,erigeron breviscapus,PLANTS
385,erigeron canadensis,PLANTS
386,erigeron denticulatum,PLANTS
387,erigeron graveolens l.,PLANTS
388,erigeron strictus,PLANTS
389,eriobotrya japonica,PLANTS
390,eriocaulon buergarianum,PLANTS
391,eriocephalus africanus,PLANTS
392,eriocephalus punctulatus,PLANTS
393,eriocephalus umbellulatus,PLANTS
394,eriodictyon californicum,PLANTS
395,eriodictyon crassifolium,PLANTS
396,eriodictyon glutinosum,PLANTS
397,eriodictyon trichocalyx,PLANTS
398,eruca sativa,PLANTS
399,eruca vesicaria subsp. sativa miller thell,PLANTS
400,eryngium alpinum,PLANTS
401,eryngium aquaticum,PLANTS
402,eryngium campestre,PLANTS
403,eryngium maritimum,PLANTS
404,erysimum canescens,PLANTS
405,erysimum crepidifolium,PLANTS
406,erysimum irio,PLANTS
407,erythraea capitata,PLANTS
408,erythraea centaurium,PLANTS
409,erythraea lomae,PLANTS
410,erythraea spicata,PLANTS
411,erythrina edulis,PLANTS
412,erythrina variegata,PLANTS
413,erythroea centaurium,PLANTS
414,erythronium americanum,PLANTS
415,erythroxylon coca lam.,PLANTS
416,erythroxylum catuaba,PLANTS
417,erythroxylum spruceanum,PLANTS
418,escherichia coli,PLANTS
419,eschscholtzia californica,PLANTS
420,eschscholzia californica,PLANTS
421,eschweilera coriacea a. p. dc. mori,PLANTS
422,etlingera elatior,PLANTS
423,eucalyptus,PLANTS
424,eucalyptus acmenoides,PLANTS
425,eucalyptus alba,PLANTS
426,eucalyptus amygdalina,PLANTS
427,eucalyptus bakeri,PLANTS
428,eucalyptus blakelyi a. cunn.,PLANTS
429,eucalyptus bridgesiana,PLANTS
430,eucalyptus brookerana,PLANTS
431,eucalyptus camaldulensis,PLANTS
432,eucalyptus camphora,PLANTS
433,eucalyptus cinerea,PLANTS
434,eucalyptus citriodora,PLANTS
435,eucalyptus cladocalyx f. muell.,PLANTS
436,eucalyptus cneorifolia,PLANTS
437,eucalyptus cneorifolia de candolle,PLANTS
438,eucalyptus conica,PLANTS
439,eucalyptus consideniana,PLANTS
440,eucalyptus cordata,PLANTS
441,eucalyptus dalrympleana maiden,PLANTS
442,eucalyptus deaneti maiden,PLANTS
443,eucalyptus delegatensis r. baker,PLANTS
444,eucalyptus dives,PLANTS
445,eucalyptus dives schauer,PLANTS
446,eucalyptus dives type,PLANTS
447,eucalyptus dives var. A,PLANTS
448,eucalyptus dives var. C,PLANTS
449,eucalyptus dumosa,PLANTS
450,eucalyptus dunnii,PLANTS
451,eucalyptus elaeophora f. von mueller,PLANTS
452,eucalyptus elata,PLANTS
453,eucalyptus fruticetorum,PLANTS
454,eucalyptus globulus,PLANTS
455,eucalyptus globulus bicostata,PLANTS
456,eucalyptus globulus labille,PLANTS
457,eucalyptus globulus maidenii f. muell,PLANTS
458,eucalyptus globulus pseudoglobulus,PLANTS
459,eucalyptus globulus subsp. maidenii,PLANTS
460,eucalyptus globulus subsp. pseudoglobulus,PLANTS
461,eucalyptus globulus var. bicostata,PLANTS
462,eucalyptus goniocalyx,PLANTS
463,eucalyptus grandis w. hill ex maiden,PLANTS
464,eucalyptus hellandra,PLANTS
465,eucalyptus kochii,PLANTS
466,eucalyptus leptopoda,PLANTS
467,eucalyptus leucoxylon,PLANTS
468,eucalyptus macarthurii,PLANTS
469,eucalyptus maculata,PLANTS
470,eucalyptus maculata citriodora,PLANTS
471,eucalyptus maculata var. citriodora,PLANTS
472,eucalyptus maideni,PLANTS
473,eucalyptus microcory,PLANTS
474,eucalyptus morrisii,PLANTS
475,eucalyptus na type,PLANTS
476,eucalyptus na var. b,PLANTS
477,eucalyptus nicholii,PLANTS
478,eucalyptus nitens deane et maiden maiden,PLANTS
479,eucalyptus numerosa maiden,PLANTS
480,eucalyptus numerosa type,PLANTS
481,eucalyptus odorata,PLANTS
482,eucalyptus oleosa,PLANTS
483,eucalyptus olida,PLANTS
484,eucalyptus ovata,PLANTS
485,eucalyptus parramattensis,PLANTS
486,eucalyptus phellandra,PLANTS
487,eucalyptus piperita,PLANTS
488,eucalyptus polyanthemos,PLANTS
489,eucalyptus polybractea,PLANTS
490,eucalyptus pulverulenta,PLANTS
491,eucalyptus pumila,PLANTS
492,eucalyptus punctata,PLANTS
493,eucalyptus racemosa,PLANTS
494,eucalyptus radiata,PLANTS
495,eucalyptus radiata na,PLANTS
496,eucalyptus radiata var. na,PLANTS
497,eucalyptus robusta,PLANTS
498,eucalyptus rostrata,PLANTS
499,eucalyptus saligna,PLANTS
500,eucalyptus saligna smith,PLANTS
501,eucalyptus sideroxylon,PLANTS
502,eucalyptus smithii,PLANTS
503,eucalyptus species,PLANTS
504,eucalyptus staigeriana,PLANTS
505,eucalyptus tereticornis smith,PLANTS
506,eucalyptus urophylla s.t. blake,PLANTS
507,eucalyptus viminalis,PLANTS
508,eucalyptus viminalis labill.,PLANTS
509,eucalyptus viridis,PLANTS
510,eucarya spicata,PLANTS
511,eucheuma spinosum,PLANTS
512,eucommia ulmoides,PLANTS
513,eugenia aquea,PLANTS
514,eugenia aromatica,PLANTS
515,eugenia caroyphyllus,PLANTS
516,eugenia caryophyllata,PLANTS
517,eugenia caryophyllus,PLANTS
518,eugenia caryophyllus clove,PLANTS
519,eugenia cumini,PLANTS
520,eugenia edulis,PLANTS
521,eugenia jambolana,PLANTS
522,eugenia jambos,PLANTS
523,eugenia macrophylla,PLANTS
524,eugenia malaccensis,PLANTS
525,eugenia operculata,PLANTS
526,eugenia reinwardtiana,PLANTS
527,eugenia ugni,PLANTS
528,eugenia uniflora,PLANTS
529,euglena gracilis,PLANTS
530,eukylista spruceana,PLANTS
531,euonymus atropurpureus,PLANTS
532,euonymus euphlebiphyllus,PLANTS
533,euonymus europaeus,PLANTS
534,euonymus japonicus,PLANTS
535,euonymus sachalinensis,PLANTS
536,euonymus sinensis,PLANTS
537,eupatorium aromaticum,PLANTS
538,eupatorium ayapana,PLANTS
539,eupatorium caespitosum,PLANTS
540,eupatorium cannabinum,PLANTS
541,eupatorium chapmanii,PLANTS
542,eupatorium chinense var. tripartitum,PLANTS
543,eupatorium conyzoides,PLANTS
544,eupatorium cordatum burm. f.,PLANTS
545,eupatorium fortunei,PLANTS
546,eupatorium fortunei var. angustilobum,PLANTS
547,eupatorium lindleyanum,PLANTS
548,eupatorium montevidense,PLANTS
549,eupatorium nodiflorum,PLANTS
550,eupatorium perfoliatum,PLANTS
551,eupatorium perfoliatum var. colpophilum,PLANTS
552,eupatorium perfoliatum var. cuneatum,PLANTS
553,eupatorium purpureum,PLANTS
554,eupatorium rebaudianum,PLANTS
555,eupatorium stoechadosmum,PLANTS
556,eupatorium triplinerve,PLANTS
557,euphorbia,PLANTS
558,euphorbia antisyphilitica,PLANTS
559,euphorbia bancana,PLANTS
560,euphorbia capitata,PLANTS
561,euphorbia cerifera,PLANTS
562,euphorbia chrysochaeta,PLANTS
563,euphorbia corollata,PLANTS
564,euphorbia cyathophora,PLANTS
565,euphorbia cyparissias,PLANTS
566,euphorbia decussata,PLANTS
567,euphorbia esula,PLANTS
568,euphorbia formosana,PLANTS
569,euphorbia globulifera,PLANTS
570,euphorbia helioscopia,PLANTS
571,euphorbia heterophylla,PLANTS
572,euphorbia hirta,PLANTS
573,euphorbia hypericifolia,PLANTS
574,euphorbia japonica,PLANTS
575,euphorbia jolkini,PLANTS
576,euphorbia karwinskyi,PLANTS
577,euphorbia lathyris,PLANTS
578,euphorbia lathyris var. minor,PLANTS
579,euphorbia longan,PLANTS
580,euphorbia maculata,PLANTS
581,euphorbia nodiflora,PLANTS
582,euphorbia palustris,PLANTS
583,euphorbia peplis,PLANTS
584,euphorbia peplus,PLANTS
585,euphorbia pilosa,PLANTS
586,euphorbia pilulifera,PLANTS
587,euphorbia pilulifera var. discolor,PLANTS
588,euphorbia regina,PLANTS
589,euphorbia shouanensis,PLANTS
590,euphorbia spongiosa,PLANTS
591,euphorbia supina,PLANTS
592,euphorbia tirucalli,PLANTS
593,euphoria longan,PLANTS
594,euphoria longana,PLANTS
595,euphrasia officinalis,PLANTS
596,euphrasia stricta,PLANTS
597,eurya emarginata,PLANTS
598,eurya japonica,PLANTS
599,eurya japonica var. multiflora,PLANTS
600,eurya montana,PLANTS
601,euryale amazonica,PLANTS
602,eurycoma longifolia,PLANTS
603,eutassa heterophylla,PLANTS
604,euterpe edulis,PLANTS
605,euterpe edulis var. clausa,PLANTS
606,euterpe egusquizae,PLANTS
607,euterpe espiritosantensis,PLANTS
608,euterpe oleracea,PLANTS
609,euterpe oleracea palm heart,PLANTS
610,euterpe oleraceae,PLANTS
611,euterpe precatoria,PLANTS
612,eutrema wasabi,PLANTS
613,evea ipecacuanha,PLANTS
614,evernia furfuracea,PLANTS
615,evernia furfuracea lichen,PLANTS
616,evernia mesomorpha,PLANTS
617,evernia prunastri,PLANTS
618,evernia prunastri lichen,PLANTS
619,evodia rutaecarpa,PLANTS
620,evolvulus alsinoides,PLANTS
621,excoecaria bicolor,PLANTS
622,excoecaria cochinchinensis,PLANTS
623,excoecaria cochinchinensis var. cochinchinensis,PLANTS
624,exogonium purga,PLANTS
625,eysenhardtia polystachya,PLANTS
626,fabiana imbricata,PLANTS
627,fagara avicennae,PLANTS
628,fagara caroliniana,PLANTS
629,fagara clava-herculis,PLANTS
630,fagara pteropoda,PLANTS
631,fagara schinifolia,PLANTS
632,fagara zanthoxyloides,PLANTS
633,fagopyrum emarginatum,PLANTS
634,fagopyrum emarginatum var. kunawarense,PLANTS
635,fagopyrum esculentum,PLANTS
636,fagopyrum sagittatum,PLANTS
637,fagopyrum tataricum,PLANTS
638,fagopyrum vulgare,PLANTS
639,fagopyrum zuogongense,PLANTS
640,fagraea berteriana,PLANTS
641,fagraea berteroana,PLANTS
642,fagus castanea,PLANTS
643,fagus crenata,PLANTS
644,fagus engleriana,PLANTS
645,fagus grandifolia,PLANTS
646,fagus orientalis,PLANTS
647,fagus sylvatica,PLANTS
648,fagus sylvatica var. chinensis,PLANTS
649,fallopia multiflora,PLANTS
650,fallopia multiflora var. multiflora,PLANTS
651,fallopia sachalinensis,PLANTS
652,familia euforbiacea,PLANTS
653,fancor lanwax,PLANTS
654,farfugium japonicum,PLANTS
655,farnesia odora,PLANTS
656,ferocactus herrerae,PLANTS
657,ferocactus tiburonensis,PLANTS
658,ferocactus wislizeni,PLANTS
659,ferocactus wislizeni var. herrerae,PLANTS
660,ferocactus wislizeni var. tiburonensis,PLANTS
661,ferula alliacea,PLANTS
662,ferula asafoetida,PLANTS
663,ferula assa-foetida,PLANTS
664,ferula communis,PLANTS
665,ferula cupularis,PLANTS
666,ferula foetida,PLANTS
667,ferula galbaniflua,PLANTS
668,ferula kokanica,PLANTS
669,ferula marathrophylla,PLANTS
670,ferula moschata,PLANTS
671,ferula petiolare dc,PLANTS
672,ferula rubricaulis,PLANTS
673,ferula sumbul,PLANTS
674,ferula turjomanica schischk m. pimen. ex czer,PLANTS
675,festuca elatior,PLANTS
676,festuca gigantea,PLANTS
677,festuca varia,PLANTS
678,feuilleea julibrissin,PLANTS
679,fibraurea recisa,PLANTS
680,ficaria verna,PLANTS
681,ficus awkeotsang,PLANTS
682,ficus benghalensis,PLANTS
683,ficus carica,PLANTS
684,ficus deltoidea,PLANTS
685,ficus diversifolia,PLANTS
686,ficus doliaria,PLANTS
687,ficus glomerata,PLANTS
688,ficus indica,PLANTS
689,ficus infectoria,PLANTS
690,ficus insipida,PLANTS
691,ficus kopetdagensis,PLANTS
692,ficus longipedi,PLANTS
693,ficus microcarpa,PLANTS
694,ficus nipponica,PLANTS
695,ficus ovoidea,PLANTS
696,ficus oxyphylla,PLANTS
697,ficus platyphylla del.,PLANTS
698,ficus pumila,PLANTS
699,ficus pumila var. awkeotsang,PLANTS
700,ficus racemosa,PLANTS
701,ficus sarmentosa var. nipponica,PLANTS
702,ficus simplicissima,PLANTS
703,ficus stipulata,PLANTS
704,ficus sycomorus,PLANTS
705,ficus virens,PLANTS
706,filipendula formosa,PLANTS
707,filipendula glaberrima,PLANTS
708,filipendula ulmaria,PLANTS
709,filipendula vulgaris,PLANTS
710,firmiana simplex,PLANTS
711,fiscus carica,PLANTS
712,fissistigma latifolium,PLANTS
713,flammulina velutipes,PLANTS
714,flavoparmelia caperata,PLANTS
715,flemingia congesta,PLANTS
716,flemingia macrophylla,PLANTS
717,flindersia acuminata,PLANTS
718,flouve odorante,PLANTS
719,flueggea virosa willd. royle,PLANTS
720,fluggea microcarpa,PLANTS
721,foeniculum vulgare,PLANTS
722,foeniculum vulgare capillaceum,PLANTS
723,foeniculum vulgare mill. ssp. vulgare var. dulce d.c.,PLANTS
724,foeniculum vulgare mill. ssp. vulgare var. vulgare mill. thell.,PLANTS
725,foeniculum vulgare mill. var. dulce d.c.,PLANTS
726,foeniculum vulgare mill. var. vulgare mill. thell.,PLANTS
727,foeniculum vulgare piperitum,PLANTS
